Timestamp, Download Speed (Mbyte/s), Upload Speed (Mbyte/s)
2020-09-30T13:30:36.797342Z, 9.48, 9.9
2020-09-30T13:31:03.250570Z, 9.87, 9.8
2020-09-30T13:34:23.573824Z, 9.9, 8.91
2020-09-30T13:36:07.813342Z, 9.77, 9.92
2020-09-30T13:40:50.347599Z, 6.39, 9.49
2020-09-30T14:03:26.952830Z, 9.87, 9.73
2020-09-30T14:14:21.263287Z, 9.82, 9.58
2020-09-30T14:15:32.872488Z, 9.89, 9.68
2020-09-30T14:27:36.414355Z, 9.82, 9.69
2020-09-30T14:36:23.671575Z, 9.66, 9.62
2020-09-30T17:55:13.746111Z, 9.9, 9.71
2020-09-30T18:16:36.451091Z, 9.83, 9.31
2020-09-30T18:20:05.106429Z, 9.84, 9.83
2020-10-27T08:48:15.038517Z, 1.14, 1.17
2020-10-27T08:53:59.509126Z, 4.42, 6.38
2020-10-27T09:00:29.667100Z, 1.16, 1.16
2020-10-27T09:06:12.182616Z, 1.1, 1.19
2020-10-27T10:47:25.549106Z, 9.7, 9.64
2021-03-27T06:38:33.591613Z, 6.18, 10.13
2021-03-27T06:41:30.812005Z, 6.21, 2.45
2021-03-27T06:53:32.603661Z, 6.17, 8.29
2021-03-27T07:01:08.799671Z, 6.2, 2.15
2021-03-27T07:03:49.055388Z, 6.19, 2.45
2021-03-27T07:07:41.483482Z, 5.88, 11.74
2021-03-27T07:09:49.668572Z, 5.92, 10.01
2021-03-27T07:14:25.702678Z, 6.18, 11.58
2021-03-27T07:18:23.118776Z, 6.2, 2.43
2021-03-27T07:21:11.529331Z, 6.18, 10.97
2021-03-27T09:11:55.404084Z, 6.18, 2.06
2021-03-27T09:13:19.715574Z, 6.17, 2.43
2021-03-27T09:14:19.402425Z, 6.16, 11.61
2021-03-27T09:16:02.175613Z, 6.13, 2.44
2021-03-27T09:18:16.013183Z, 4.69, 9.76
2021-03-27T09:44:31.642852Z, 6.2, 2.41
2021-03-27T09:56:51.677381Z, 6.18, 2.43
2021-03-27T14:09:03.374102Z, 2.47, 2.4
2021-03-27T14:12:42.933512Z, 2.44, 2.47
2021-03-27T15:01:05.949637Z, 2.27, 10.56
2021-03-27T15:04:34.242430Z, 2.22, 2.35
2021-03-27T15:13:59.350214Z, 0.38, 7.58
2021-03-27T15:48:30.408618Z, 1.93, 11.43
2021-03-27T17:35:10.591008Z, 2.17, 1.35
2021-03-27T18:20:40.695618Z, 2.48, 2.46
2021-03-27T18:21:41.387112Z, 2.47, 2.41
2021-03-28T02:00:54.691848Z, 6.17, 2.43
2021-03-28T02:09:51.259168Z, 6.2, 1.79
2021-03-28T03:54:55.013206Z, 1.12, 1.02
2021-03-28T04:16:48.542327Z, 3.05, 11.75
2021-03-28T04:17:33.120575Z, 2.9, 2.16
2021-03-28T04:26:01.539423Z, 3.03, 2.19
2021-03-28T11:39:47.420046Z, 3.03, 11.72
2021-03-28T11:40:55.993429Z, 3.06, 2.14
2021-03-28T13:02:52.502671Z, 3.04, 2.19
2021-03-28T13:31:28.954000Z, 3.07, 10.96
2021-03-28T14:55:11.821043Z, 1.08, 11.63
2021-03-28T15:01:49.215275Z, 1.08, 10.49
2021-03-28T15:19:03.962562Z, 1.08, 2.23
2021-03-28T17:11:48.878332Z, 0.93, 11.09
2021-03-30T04:43:42.186034Z, 7.41, 2.46
2021-03-30T04:49:51.995911Z, 11.35, 11.76
2021-03-31T04:57:46.351485Z, 1.15, 1.18
2021-03-31T05:01:25.556796Z, 1.1, 1.2
2021-03-31T06:49:14.803916Z, 1.16, 1.19
2021-03-31T07:28:55.438003Z, 0.99, 1.19
2021-03-31T07:33:58.567583Z, 1.14, 1.21
2021-04-01T08:04:27.256580Z, 11.59, 11.76
2021-04-01T08:04:52.018860Z, 11.54, 11.73
2021-04-01T09:00:13.477557Z, 11.67, 11.76
2021-04-01T09:10:19.750194Z, 7.43, 2.48
